qid,has_passage,top_score
test_0277,0,0.6765
test_0278,0,0.6733
test_0279,1,-1
test_0280,0,0.7090
test_0281,0,0.7536
test_0282,1,-1
test_0283,0,0.6324
test_0284,0,0.5280
test_0285,0,0.6991
test_0286,1,-1
test_0287,0,0.5919
test_0288,0,0.6904
test_0289,0,0.6944
test_0290,0,0.7831
test_0291,0,0.6196
test_0292,0,0.5676
test_0293,0,0.5654
test_0294,0,0.5855
test_0295,1,-1
test_0296,1,-1
test_0297,0,0.5536
test_0298,0,0.6011
test_0299,0,0.5861
test_0300,1,-1
test_0301,0,0.6415
test_0302,1,-1
test_0303,0,0.7384
test_0304,0,0.6012
test_0305,0,0.6460
test_0306,1,-1
test_0307,0,0.6874
test_0308,0,0.6598
test_0309,0,0.5550
test_0310,0,0.6049
test_0311,0,0.6136
test_0312,0,0.6607
test_0313,0,0.6603
test_0314,0,0.7261
test_0315,0,0.6703
test_0316,0,0.6023
test_0317,0,0.7335
test_0318,0,0.6032
test_0319,0,0.5627
test_0320,0,0.6673
test_0321,0,0.6179
test_0322,0,0.6695
test_0323,0,0.6820
test_0324,1,-1
test_0325,1,-1
test_0326,0,0.6377
test_0327,0,0.6799
test_0328,0,0.6190
test_0329,0,0.6104
test_0330,0,0.5125
test_0331,0,0.5457
test_0332,0,0.6458
test_0333,1,-1
test_0334,0,0.5828
test_0335,0,0.6392
test_0336,0,0.5515
test_0337,0,0.6229
test_0338,0,0.6286
test_0339,0,0.6833
test_0340,0,0.5803
test_0341,0,0.5874
test_0342,1,-1
test_0343,0,0.5488
test_0344,0,0.6353
test_0345,0,0.6660
test_0346,1,-1
test_0347,1,-1
test_0348,0,0.6789
test_0349,0,0.5266
test_0350,1,-1
test_0351,0,0.6029
test_0352,0,0.6442
test_0353,1,-1
test_0354,0,0.6159
test_0355,0,0.6252
test_0356,0,0.6394
test_0357,1,-1
test_0358,0,0.6813
test_0359,0,0.6050
test_0360,0,0.5901
test_0361,1,-1
test_0362,0,0.6624
test_0363,1,-1
test_0364,1,-1
test_0365,1,-1
test_0366,0,0.6630
test_0367,0,0.6367
test_0368,1,-1
test_0369,0,0.5987
test_0370,0,0.6539
test_0371,0,0.6492
test_0372,0,0.6565
test_0373,0,0.6131
test_0374,0,0.6380
test_0375,1,-1
test_0376,0,0.5337
test_0377,0,0.6242
test_0378,0,0.7615
test_0379,0,0.6164
test_0380,0,0.6293
test_0381,0,0.6188
test_0382,0,0.6065
test_0383,0,0.6924
test_0384,0,0.6158
test_0385,0,0.6456
test_0386,0,0.6397
test_0387,0,0.7407
test_0388,0,0.6817
test_0389,0,0.5955
test_0390,0,0.6835
test_0391,1,-1
test_0392,0,0.5741
test_0393,0,0.6458
test_0394,0,0.6197
test_0395,0,0.6382
test_0396,0,0.6076
test_0397,0,0.6296
test_0398,0,0.6074
test_0399,0,0.6576
test_0400,0,0.5286
test_0401,0,0.5612
test_0402,0,0.6136
test_0403,0,0.6199
test_0404,0,0.5905
test_0405,0,0.6974
test_0406,0,0.7051
test_0407,1,-1
test_0408,0,0.5825
test_0409,1,-1
test_0410,0,0.6469
test_0411,1,-1
test_0412,0,0.6570
test_0413,1,-1
test_0414,0,0.6071
test_0415,0,0.6499
test_0416,0,0.6168
test_0417,0,0.6484
test_0418,1,-1
test_0419,0,0.7240
test_0420,0,0.6192
test_0421,1,-1
test_0422,0,0.6914
test_0423,0,0.6322
test_0424,0,0.6574
test_0425,1,-1
test_0426,1,-1
test_0427,0,0.5540
test_0428,1,-1
test_0429,1,-1
test_0430,0,0.6918
test_0431,0,0.5762
test_0432,0,0.5781
test_0433,1,-1
test_0434,1,-1
test_0435,0,0.5641
test_0436,1,-1
test_0437,1,-1
test_0438,0,0.6824
test_0439,0,0.6336
test_0440,1,-1
test_0441,0,0.6154
test_0442,0,0.5803
test_0443,1,-1
test_0444,0,0.5737
test_0445,0,0.6442
test_0446,0,0.7534
test_0447,1,-1
test_0448,0,0.6050
test_0449,0,0.6158
test_0450,0,0.5604
test_0451,0,0.6129
test_0452,0,0.6421
test_0453,0,0.6082
test_0454,0,0.5641
test_0455,0,0.5849
test_0456,0,0.6004
test_0457,0,0.5803
test_0458,0,0.6696
test_0459,1,-1
test_0460,1,-1
test_0461,0,0.7844
test_0462,0,0.5320
test_0463,0,0.6179
